site,title,url,pv,store
天猫,天猫tmall.com-尚天猫，就购了,http://www.tmall.com/,2686657,
天猫,-尚天猫，就购了    ,http://detail.tmall.com/,2378554,
天猫,天猫tmall.com-尚天猫，就购了,http://list.tmall.com/,393060,
天猫,天猫 - 上天猫，就够了,http://tuikuan.tmall.com/,252540,
天猫,-尚天猫，就购了    ,http://trade.tmall.com/,148417,
天猫,供销平台,http://gongxiao.tmall.com/,83477,
天猫,天猫会员-天猫Tmall.com-尚天猫，就购了,http://vip.tmall.com/,67494,
天猫,,http://upload.tmall.com/,64598,
天猫,天猫超市-天猫Tmall.com-上天猫，就购了-尚天猫，就购了,http://chaoshi.tmall.com/,60756,
天猫,天猫 - 上天猫，就够了,http://siteadmin.tmall.com/,56956,
天猫,"

                        首页-雅图旗舰店--            天猫Tmall.com             ",http://a.tmall.com/,52381,
天猫,,http://sell.tmall.com/,43914,
天猫,对不起，您访问的页面不存在！,http://buy.tmall.com/,41761,
天猫,登录 - 天猫tmall.com ―上天猫，就购了,http://login.tmall.com/,38250,
天猫,登录 - 天猫tmall.com ―上天猫，就购了,http://yx.tmall.com/,29724,
天猫,尚天猫-尚天猫，就购了,http://brand.tmall.com/,27451,
天猫,天猫触屏版,http://page.tmall.com/,25903,
天猫,-尚天猫，就购了    ,http://err.tmall.com/,21728,
天猫,,http://ratewrite.tmall.com/,21101,
天猫,"

			店铺浏览-淘宝网

		",http://goods.tmall.com/,17588,
天猫,潮牌街-品牌街-尚天猫，就购了,http://subject.tmall.com/,16498,
天猫,登录 - 天猫tmall.com ―上天猫，就购了,http://tmc.tmall.com/,14505,
天猫,对不起，您访问的页面不存在！,http://pass.tmall.com/,14339,
天猫,天猫 - 上天猫，就够了,http://cart.tmall.com/,14282,
天猫,"

			2014秋冬改版-水星家纺旗舰店-天猫Tmall.com

	",http://shuixing.tmall.com/,13817,水星家纺旗舰店
天猫,"

			首页-asobio官方旗舰店-天猫Tmall.com

	",http://asobio.tmall.com/,12830,asobio官方旗舰店
天猫,"

			店铺浏览-淘宝网

		",http://s.tmall.com/,10415,
天猫,"

			首页-车品弘智专营店-天猫Tmall.com

	",http://hongzhi.tmall.com/,9704,车品弘智专营店
天猫,天猫tmall.com-尚天猫，就购了,http://m.tmall.com/,9203,
天猫,"

			首页-aza旗舰店-天猫Tmall.com

	",http://azams.tmall.com/,8875,aza旗舰店
天猫,天猫tmall.com-尚天猫，就购了,http://dacu.tmall.com/,8606,
天猫,"

			首尔冬日-韩都衣舍旗舰店-天猫Tmall.com

	",http://handuyishe.tmall.com/,8062,韩都衣舍旗舰店
天猫,"

			首页-优衣库官方旗舰店-天猫Tmall.com

	",http://uniqlo.tmall.com/,7283,优衣库官方旗舰店
天猫,商家中心-尚天猫，就购了,http://shangjia.tmall.com/,6880,
天猫,天猫点券-天猫Tmall.com-上天猫，就购了,http://ka.tmall.com/,6760,
天猫,淘宝网 - 服务中心 首页,http://service.tmall.com/,6726,
